geneID,length
ENSMLUT00000000082,1599
ENSMLUT00000000083,1619
ENSMLUT00000000084,1572
ENSMLUT00000000085,1038
ENSMLUT00000000086,1035
ENSMLUT00000000088,855
ENSMLUT00000000089,1248
ENSMLUT00000000090,3720
ENSMLUT00000000091,1593
ENSMLUT00000000092,759
ENSMLUT00000000093,684
ENSMLUT00000000094,816
ENSMLUT00000000095,1338
ENSMLUT00000000097,2532
ENSMLUT00000000096,888
ENSMLUT00000000101,2148
ENSMLUT00000000099,1129
ENSMLUT00000000102,3246
ENSMLUT00000000100,669
ENSMLUT00000000110,3576
ENSMLUT00000002043,3576
ENSMLUT00000000105,789
ENSMLUT00000000108,1254
ENSMLUT00000000107,966
ENSMLUT00000000109,828
ENSMLUT00000000117,2040
ENSMLUT00000000111,1203
ENSMLUT00000000118,1830
ENSMLUT00000000112,321
ENSMLUT00000000119,1053
ENSMLUT00000000121,999
ENSMLUT00000000122,243
ENSMLUT00000000124,1626
ENSMLUT00000000127,3213
ENSMLUT00000000123,258
ENSMLUT00000000126,1437
ENSMLUT00000000125,1239
ENSMLUT00000000129,1161
ENSMLUT00000000130,2007
ENSMLUT00000000135,2124
ENSMLUT00000000131,2100
ENSMLUT00000000133,3144
ENSMLUT00000000134,942
ENSMLUT00000000136,930
ENSMLUT00000000138,3897
ENSMLUT00000000137,708
ENSMLUT00000000141,1599
ENSMLUT00000000139,867
ENSMLUT00000000140,831
ENSMLUT00000000142,675
ENSMLUT00000000144,996
ENSMLUT00000000143,1062
ENSMLUT00000000148,1914
ENSMLUT00000000150,1824
ENSMLUT00000000151,810
ENSMLUT00000000152,840
ENSMLUT00000000155,2550
ENSMLUT00000000153,1200
ENSMLUT00000000157,1722
ENSMLUT00000000154,813
ENSMLUT00000000158,1371
ENSMLUT00000000168,3708
ENSMLUT00000000164,4074
ENSMLUT00000000159,1146
ENSMLUT00000026298,1056
ENSMLUT00000000156,372
ENSMLUT00000000161,2226
ENSMLUT00000000162,1174
ENSMLUT00000000160,1026
ENSMLUT00000000166,762
ENSMLUT00000000165,810
ENSMLUT00000000163,1542
ENSMLUT00000000179,5472
ENSMLUT00000000167,327
ENSMLUT00000000172,1470
ENSMLUT00000000173,1497
ENSMLUT00000000170,1155
ENSMLUT00000000174,824
ENSMLUT00000000177,1087
ENSMLUT00000000214,13125
ENSMLUT00000000178,1918
ENSMLUT00000022309,1952
ENSMLUT00000000181,1125
ENSMLUT00000000183,5064
ENSMLUT00000000186,1447
ENSMLUT00000030297,426
ENSMLUT00000000180,1089
ENSMLUT00000000182,198
ENSMLUT00000000184,789
ENSMLUT00000000198,5637
ENSMLUT00000000187,1066
ENSMLUT00000000190,1794
ENSMLUT00000000185,1056
ENSMLUT00000000188,384
ENSMLUT00000000193,1340
ENSMLUT00000000192,996
ENSMLUT00000000207,4374
ENSMLUT00000000197,1329
ENSMLUT00000000195,943
ENSMLUT00000000196,873
ENSMLUT00000000202,1053
ENSMLUT00000000205,1980
ENSMLUT00000000201,354
ENSMLUT00000000203,3801
ENSMLUT00000000204,525
ENSMLUT00000000206,300
ENSMLUT00000000208,744
ENSMLUT00000000210,1599
ENSMLUT00000000217,1866
ENSMLUT00000000209,519
ENSMLUT00000000211,2486
ENSMLUT00000000213,1752
ENSMLUT00000000212,2028
ENSMLUT00000000221,2753
ENSMLUT00000000216,732
ENSMLUT00000000215,999
ENSMLUT00000000218,1075
ENSMLUT00000000225,2064
ENSMLUT00000000228,5799
ENSMLUT00000000223,1422
ENSMLUT00000000219,993
ENSMLUT00000000220,1209
ENSMLUT00000000222,837
ENSMLUT00000000226,2934
ENSMLUT00000000224,555
ENSMLUT00000000229,3822
ENSMLUT00000000227,2114
ENSMLUT00000000230,1506
ENSMLUT00000000231,3645
ENSMLUT00000000232,1467
ENSMLUT00000000233,582
ENSMLUT00000000235,4239
ENSMLUT00000000234,2055
ENSMLUT00000000236,1194
ENSMLUT00000000239,1700
ENSMLUT00000000237,1383
ENSMLUT00000000244,3012
ENSMLUT00000000243,1686
ENSMLUT00000000245,2298
ENSMLUT00000000242,1581
ENSMLUT00000000246,2811
ENSMLUT00000022588,2649
ENSMLUT00000000247,486
ENSMLUT00000000251,1455
ENSMLUT00000000249,4089
ENSMLUT00000000253,2383
ENSMLUT00000000252,1890
ENSMLUT00000000250,1122
ENSMLUT00000000254,960
ENSMLUT00000000266,5385
ENSMLUT00000000263,1383
ENSMLUT00000000258,2136
ENSMLUT00000000256,2088
ENSMLUT00000000257,1455
ENSMLUT00000000259,687
ENSMLUT00000000261,753
ENSMLUT00000000260,858
ENSMLUT00000000262,1131
ENSMLUT00000028341,252
ENSMLUT00000000264,1488
ENSMLUT00000000265,1434
ENSMLUT00000000269,5483
ENSMLUT00000000267,483
ENSMLUT00000000268,1560
ENSMLUT00000000272,2340
ENSMLUT00000000270,1887
ENSMLUT00000000276,1233
ENSMLUT00000000277,2970
ENSMLUT00000000278,2112
ENSMLUT00000000274,594
ENSMLUT00000000275,1332
ENSMLUT00000000279,579
ENSMLUT00000000323,18840
ENSMLUT00000000285,4056
ENSMLUT00000000282,1191
ENSMLUT00000000280,714
ENSMLUT00000000283,681
ENSMLUT00000000284,615
ENSMLUT00000026698,564
ENSMLUT00000000287,1137
ENSMLUT00000028636,1272
ENSMLUT00000000288,561
ENSMLUT00000000289,2181
ENSMLUT00000000290,1143
ENSMLUT00000000294,1470
ENSMLUT00000000296,3642
ENSMLUT00000000292,606
ENSMLUT00000000291,651
ENSMLUT00000000293,879
ENSMLUT00000000297,1005
ENSMLUT00000000301,2514
ENSMLUT00000000298,1605
ENSMLUT00000000299,645
ENSMLUT00000000303,4218
ENSMLUT00000024645,3747
ENSMLUT00000000304,1155
ENSMLUT00000000302,3066
ENSMLUT00000000305,1277
ENSMLUT00000000306,1041
ENSMLUT00000000307,752
ENSMLUT00000000310,1185
ENSMLUT00000000312,1920
ENSMLUT00000000313,1092
ENSMLUT00000000314,1179
ENSMLUT00000000317,1263
ENSMLUT00000000316,4278
ENSMLUT00000000315,795
ENSMLUT00000000320,2190
ENSMLUT00000000322,2322
ENSMLUT00000000318,1284
ENSMLUT00000000319,1231
ENSMLUT00000000327,4152
ENSMLUT00000000337,10776
ENSMLUT00000000326,2520
ENSMLUT00000000325,981
ENSMLUT00000000328,1710
ENSMLUT00000000331,1956
ENSMLUT00000000330,1296
ENSMLUT00000000332,1827
ENSMLUT00000000333,1407
ENSMLUT00000000347,7653
ENSMLUT00000000335,1380
ENSMLUT00000000339,813
ENSMLUT00000000338,1590
ENSMLUT00000000350,5292
ENSMLUT00000000336,487
ENSMLUT00000000341,1414
ENSMLUT00000000340,2301
ENSMLUT00000000344,1584
ENSMLUT00000000345,306
ENSMLUT00000000348,2115
ENSMLUT00000000343,405
ENSMLUT00000000346,2580
ENSMLUT00000000349,1464
ENSMLUT00000000351,1420
ENSMLUT00000000352,933
ENSMLUT00000000356,1947
ENSMLUT00000000355,1524
ENSMLUT00000000353,705
ENSMLUT00000000354,903
ENSMLUT00000000359,2007
ENSMLUT00000000357,630
ENSMLUT00000000361,2481
ENSMLUT00000000362,2415
ENSMLUT00000027196,2424
ENSMLUT00000000358,1335
ENSMLUT00000000374,2628
ENSMLUT00000000360,1236
ENSMLUT00000000363,729
ENSMLUT00000000372,2460
ENSMLUT00000000367,1644
ENSMLUT00000000365,759
ENSMLUT00000031206,417
ENSMLUT00000000364,450
ENSMLUT00000000366,1227
ENSMLUT00000000371,1086
ENSMLUT00000000368,894
ENSMLUT00000000369,1038
ENSMLUT00000000375,642
ENSMLUT00000000373,1950
ENSMLUT00000000378,549
ENSMLUT00000000381,985
ENSMLUT00000000379,1221
ENSMLUT00000000389,3534
ENSMLUT00000000380,933
ENSMLUT00000000385,2793
ENSMLUT00000024741,2727
ENSMLUT00000000387,3768
ENSMLUT00000000382,693
ENSMLUT00000000384,1845
ENSMLUT00000000394,3330
ENSMLUT00000000391,2136
ENSMLUT00000000390,3101
ENSMLUT00000000388,909
ENSMLUT00000000393,717
ENSMLUT00000000392,486
ENSMLUT00000000398,1623
ENSMLUT00000000400,372
ENSMLUT00000000405,1218
ENSMLUT00000024733,2049
ENSMLUT00000024927,1887
ENSMLUT00000029037,1962
ENSMLUT00000029243,1908
ENSMLUT00000029949,1965
ENSMLUT00000030615,1923
ENSMLUT00000000399,573
ENSMLUT00000000401,1569
ENSMLUT00000000413,3378
ENSMLUT00000000403,1033
ENSMLUT00000000407,891
ENSMLUT00000000402,612
ENSMLUT00000000408,1944
ENSMLUT00000000406,1170
ENSMLUT00000000410,1902
ENSMLUT00000000414,2292
ENSMLUT00000000411,1008
ENSMLUT00000000409,532
ENSMLUT00000000423,2208
ENSMLUT00000000416,918
ENSMLUT00000023965,918
ENSMLUT00000000424,4227
ENSMLUT00000000422,1335
ENSMLUT00000000421,1488
ENSMLUT00000000418,153
ENSMLUT00000000417,1179
ENSMLUT00000000419,924
ENSMLUT00000000427,3084
ENSMLUT00000000426,2373
ENSMLUT00000000433,2640
ENSMLUT00000000429,2331
ENSMLUT00000000431,2337
ENSMLUT00000000430,606
ENSMLUT00000000432,2094
ENSMLUT00000000436,2280
ENSMLUT00000000435,1806
ENSMLUT00000030180,435
ENSMLUT00000000438,2118
ENSMLUT00000000441,1794
ENSMLUT00000000437,447
ENSMLUT00000000439,735
ENSMLUT00000000444,999
ENSMLUT00000000442,1533
ENSMLUT00000000443,177
ENSMLUT00000000449,5337
ENSMLUT00000000445,636
ENSMLUT00000000446,855
ENSMLUT00000000450,2226
ENSMLUT00000000448,678
ENSMLUT00000000452,3678
ENSMLUT00000000451,2294
ENSMLUT00000000459,2022
ENSMLUT00000000460,462
ENSMLUT00000000453,1461
ENSMLUT00000000455,1083
ENSMLUT00000000458,2076
ENSMLUT00000000467,2277
ENSMLUT00000000454,957
ENSMLUT00000000468,1941
ENSMLUT00000000456,672
ENSMLUT00000000457,732
ENSMLUT00000000461,355
ENSMLUT00000000469,2474
ENSMLUT00000000465,768
ENSMLUT00000000476,3497
ENSMLUT00000000464,711
ENSMLUT00000000466,1160
ENSMLUT00000000472,2928
ENSMLUT00000000471,1758
ENSMLUT00000000473,1041
ENSMLUT00000000481,3164
ENSMLUT00000000475,1800
ENSMLUT00000000482,2499
ENSMLUT00000026601,2364
ENSMLUT00000000474,435
ENSMLUT00000000478,1395
ENSMLUT00000000480,1656
ENSMLUT00000000477,1029
ENSMLUT00000000479,792
ENSMLUT00000000485,642
ENSMLUT00000000483,708
ENSMLUT00000000488,1020
ENSMLUT00000000489,1134
ENSMLUT00000026096,633
ENSMLUT00000028246,1272
ENSMLUT00000029106,1284
ENSMLUT00000029282,1146
ENSMLUT00000000484,750
ENSMLUT00000000492,2376
ENSMLUT00000000490,893
ENSMLUT00000000497,3546
ENSMLUT00000000493,492
ENSMLUT00000000491,1302
ENSMLUT00000000494,3054
ENSMLUT00000000499,702
ENSMLUT00000000496,1632
ENSMLUT00000000498,1242
ENSMLUT00000000495,1800
ENSMLUT00000000503,3021
ENSMLUT00000000500,1092
ENSMLUT00000000521,4431
ENSMLUT00000000507,2178
ENSMLUT00000000505,1271
ENSMLUT00000000506,939
ENSMLUT00000000504,651
ENSMLUT00000000510,3180
ENSMLUT00000000508,1575
ENSMLUT00000000509,1041
ENSMLUT00000000519,5514
ENSMLUT00000000511,717
ENSMLUT00000000514,1077
ENSMLUT00000000512,786
ENSMLUT00000000522,2580
ENSMLUT00000000513,528
ENSMLUT00000000538,9357
ENSMLUT00000024139,1725
ENSMLUT00000000517,912
ENSMLUT00000000515,1425
ENSMLUT00000000520,1483
ENSMLUT00000000524,861
ENSMLUT00000000523,561
ENSMLUT00000000528,1029
ENSMLUT00000000525,570
ENSMLUT00000000529,2052
ENSMLUT00000000534,1434
ENSMLUT00000000531,2125
ENSMLUT00000000527,612
ENSMLUT00000000536,1308
ENSMLUT00000000541,1836
ENSMLUT00000000532,798
ENSMLUT00000000540,2550
ENSMLUT00000000530,609
ENSMLUT00000000535,1536
ENSMLUT00000000533,999
ENSMLUT00000000537,1161
ENSMLUT00000000539,1851
ENSMLUT00000025816,996
ENSMLUT00000000556,1937
ENSMLUT00000000543,2178
ENSMLUT00000000542,3132
ENSMLUT00000000567,5997
ENSMLUT00000000557,2331
ENSMLUT00000000546,492
ENSMLUT00000030589,426
ENSMLUT00000000554,1293
ENSMLUT00000000547,1026
ENSMLUT00000000544,681
ENSMLUT00000000545,1584
ENSMLUT00000000551,1674
ENSMLUT00000000563,2902
ENSMLUT00000000548,580
ENSMLUT00000000550,756
ENSMLUT00000000549,565
ENSMLUT00000000555,633
ENSMLUT00000000552,966
ENSMLUT00000000553,324
ENSMLUT00000000561,999
ENSMLUT00000000559,867
ENSMLUT00000000565,2490
ENSMLUT00000000560,2274
ENSMLUT00000000568,2607
ENSMLUT00000000564,1713
ENSMLUT00000000566,954
ENSMLUT00000000569,1119
ENSMLUT00000000570,1158
ENSMLUT00000000579,2274
ENSMLUT00000000572,2019
ENSMLUT00000000571,954
ENSMLUT00000000576,1311
ENSMLUT00000000577,1290
ENSMLUT00000000581,1740
ENSMLUT00000000580,2622
ENSMLUT00000000583,1200
ENSMLUT00000000582,330
ENSMLUT00000000597,2985
ENSMLUT00000000584,339
ENSMLUT00000000586,1212
ENSMLUT00000000589,2156
ENSMLUT00000000588,1398
ENSMLUT00000000587,834
ENSMLUT00000000593,3162
ENSMLUT00000000592,1530
ENSMLUT00000000591,1470
ENSMLUT00000000590,723
ENSMLUT00000000599,2730
ENSMLUT00000000602,1818
ENSMLUT00000000596,1488
ENSMLUT00000000603,3324
ENSMLUT00000000598,3012
ENSMLUT00000000604,1659
ENSMLUT00000000601,1095
ENSMLUT00000000608,1515
ENSMLUT00000000605,2292
ENSMLUT00000000606,1596
ENSMLUT00000000612,2262
ENSMLUT00000000631,5442
ENSMLUT00000000613,714
ENSMLUT00000000611,1737
ENSMLUT00000000615,1056
ENSMLUT00000000609,117
ENSMLUT00000000614,945
ENSMLUT00000000625,2484
ENSMLUT00000000618,1437
ENSMLUT00000000616,1908
ENSMLUT00000000630,3486
ENSMLUT00000000622,2460
ENSMLUT00000000621,1131
ENSMLUT00000000617,384
ENSMLUT00000000620,630
ENSMLUT00000000626,1263
ENSMLUT00000000624,951
ENSMLUT00000000639,3741
ENSMLUT00000000628,765
ENSMLUT00000000627,585
ENSMLUT00000000638,2916
ENSMLUT00000000635,3987
ENSMLUT00000000633,2604
ENSMLUT00000024766,1188
ENSMLUT00000029847,702
ENSMLUT00000000636,2520
ENSMLUT00000000632,2061
ENSMLUT00000000643,3474
ENSMLUT00000000640,2286
ENSMLUT00000000634,732
ENSMLUT00000000637,675
ENSMLUT00000000666,4821
ENSMLUT00000000645,3165
ENSMLUT00000000653,2664
ENSMLUT00000000641,561
ENSMLUT00000000644,1880
ENSMLUT00000000648,795
ENSMLUT00000000647,1437
ENSMLUT00000000646,603
ENSMLUT00000000649,892
ENSMLUT00000000659,933
ENSMLUT00000000654,1641
ENSMLUT00000027627,1641
ENSMLUT00000000658,1740
ENSMLUT00000000657,720
ENSMLUT00000000667,1260
ENSMLUT00000000655,144
ENSMLUT00000000672,1668
ENSMLUT00000000656,270
ENSMLUT00000000660,633
ENSMLUT00000000668,1407
ENSMLUT00000000685,540
ENSMLUT00000000663,291
ENSMLUT00000000665,975
ENSMLUT00000000670,768
ENSMLUT00000000664,402
ENSMLUT00000000673,1395
ENSMLUT00000000671,1113
ENSMLUT00000000669,633
ENSMLUT00000000674,942
ENSMLUT00000000682,2748
ENSMLUT00000000676,348
ENSMLUT00000000675,249
ENSMLUT00000000684,2496
ENSMLUT00000000678,336
ENSMLUT00000000679,1797
ENSMLUT00000000681,1917
ENSMLUT00000000683,690
ENSMLUT00000023219,585
ENSMLUT00000000686,759
ENSMLUT00000000689,744
ENSMLUT00000000693,1434
ENSMLUT00000000691,303
ENSMLUT00000000696,2091
ENSMLUT00000000692,411
ENSMLUT00000000710,6678
ENSMLUT00000000697,2430
ENSMLUT00000000698,777
ENSMLUT00000000695,1956
ENSMLUT00000000704,1521
ENSMLUT00000000707,3264
ENSMLUT00000000699,609
ENSMLUT00000000702,1062
ENSMLUT00000000706,1653
ENSMLUT00000000701,309
ENSMLUT00000025144,354
ENSMLUT00000030205,339
ENSMLUT00000030418,231
ENSMLUT00000000721,3813
ENSMLUT00000000709,1746
ENSMLUT00000000708,2127
ENSMLUT00000000712,1390
ENSMLUT00000000711,204
ENSMLUT00000000713,1023
ENSMLUT00000000719,1233
ENSMLUT00000000714,558
ENSMLUT00000000715,981
ENSMLUT00000000755,12405
ENSMLUT00000000717,318
ENSMLUT00000000722,1857
ENSMLUT00000000720,996
ENSMLUT00000000724,1431
ENSMLUT00000000725,1216
ENSMLUT00000000728,1620
ENSMLUT00000000726,414
ENSMLUT00000000729,537
ENSMLUT00000000733,1736
ENSMLUT00000000732,1614
ENSMLUT00000000735,1911
ENSMLUT00000000744,3684
ENSMLUT00000000734,1116
ENSMLUT00000000736,1845
ENSMLUT00000000738,2841
ENSMLUT00000000743,6171
ENSMLUT00000000737,642
ENSMLUT00000000745,2952
ENSMLUT00000000739,543
ENSMLUT00000000740,309
ENSMLUT00000000741,540
ENSMLUT00000000747,1596
ENSMLUT00000000748,2184
ENSMLUT00000000742,1278
ENSMLUT00000000751,1185
ENSMLUT00000000758,1263
ENSMLUT00000000750,1254
ENSMLUT00000000749,510
ENSMLUT00000000760,1605
ENSMLUT00000000753,528
ENSMLUT00000000761,1131
ENSMLUT00000000757,1587
ENSMLUT00000000756,1266
ENSMLUT00000000766,2133
ENSMLUT00000000759,279
ENSMLUT00000000794,8964
ENSMLUT00000000762,1116
ENSMLUT00000000775,1848
ENSMLUT00000000763,906
ENSMLUT00000000771,2406
ENSMLUT00000000764,801
ENSMLUT00000000781,3402
ENSMLUT00000000770,753
ENSMLUT00000000765,168
ENSMLUT00000000767,582
ENSMLUT00000000773,939
ENSMLUT00000000769,1917
ENSMLUT00000000772,1818
ENSMLUT00000000776,669
ENSMLUT00000000774,1473
ENSMLUT00000028164,1521
ENSMLUT00000000779,1674
ENSMLUT00000000777,1239
ENSMLUT00000000780,924
ENSMLUT00000000786,1497
ENSMLUT00000000787,1557
ENSMLUT00000000784,567
ENSMLUT00000000795,4740
ENSMLUT00000000783,852
ENSMLUT00000000785,681
ENSMLUT00000000798,1218
ENSMLUT00000000791,1422
ENSMLUT00000000790,1569
ENSMLUT00000000789,878
ENSMLUT00000000788,606
ENSMLUT00000000792,927
ENSMLUT00000000812,5460
ENSMLUT00000000797,1515
ENSMLUT00000000800,3252
ENSMLUT00000000796,885
ENSMLUT00000000810,4014
ENSMLUT00000000805,1725
ENSMLUT00000000801,1203
ENSMLUT00000000802,1008
ENSMLUT00000000803,1080
ENSMLUT00000000806,1245
ENSMLUT00000000807,465
ENSMLUT00000000808,669
ENSMLUT00000027314,672
ENSMLUT00000000809,876
ENSMLUT00000000814,2553
ENSMLUT00000000815,1614
ENSMLUT00000000818,1899
ENSMLUT00000000817,1416
ENSMLUT00000000821,2400
ENSMLUT00000000816,1053
ENSMLUT00000000824,1215
ENSMLUT00000000823,1293
ENSMLUT00000000820,2172
ENSMLUT00000000822,1146
ENSMLUT00000000826,1128
ENSMLUT00000000832,2934
ENSMLUT00000000827,1437
ENSMLUT00000000829,2400
ENSMLUT00000023727,2085
ENSMLUT00000026911,2397
ENSMLUT00000000828,822
ENSMLUT00000000825,804
ENSMLUT00000000831,399
ENSMLUT00000000841,3687
ENSMLUT00000000840,3387
ENSMLUT00000000830,741
ENSMLUT00000000843,5544
ENSMLUT00000027743,5379
ENSMLUT00000030395,1758
ENSMLUT00000000834,1875
ENSMLUT00000000837,2007
ENSMLUT00000000833,1311
ENSMLUT00000000855,3915
ENSMLUT00000000847,2139
ENSMLUT00000000838,1545
ENSMLUT00000022369,1269
ENSMLUT00000000839,1098
ENSMLUT00000000846,2145
ENSMLUT00000000854,1485
ENSMLUT00000000860,3726
ENSMLUT00000000844,975
ENSMLUT00000000842,1452
ENSMLUT00000000853,1383
ENSMLUT00000000850,1992
ENSMLUT00000000857,2514
ENSMLUT00000000845,1530
ENSMLUT00000000849,1194
ENSMLUT00000000858,1857
ENSMLUT00000000851,1071
ENSMLUT00000000848,1752
ENSMLUT00000000852,861
ENSMLUT00000000856,1752
ENSMLUT00000000861,1149
ENSMLUT00000000870,2771
ENSMLUT00000000864,1101
ENSMLUT00000000867,9300
ENSMLUT00000005317,11544
ENSMLUT00000007964,11523
ENSMLUT00000000865,738
ENSMLUT00000000866,903
ENSMLUT00000000862,193
ENSMLUT00000000863,624
ENSMLUT00000000868,1566
ENSMLUT00000000876,1743
ENSMLUT00000000869,318
ENSMLUT00000000873,11364
ENSMLUT00000000872,1887
ENSMLUT00000000878,309
ENSMLUT00000000888,2631
ENSMLUT00000000902,5505
ENSMLUT00000000881,1296
ENSMLUT00000000880,897
ENSMLUT00000000895,9522
ENSMLUT00000000883,591
ENSMLUT00000000884,1017
ENSMLUT00000000886,1035
ENSMLUT00000000892,1254
ENSMLUT00000000882,1845
ENSMLUT00000000885,654
ENSMLUT00000000887,1154
ENSMLUT00000000904,4233
ENSMLUT00000029416,4188
ENSMLUT00000000889,1440
ENSMLUT00000000896,1746
ENSMLUT00000000891,2376
ENSMLUT00000000905,6210
ENSMLUT00000000894,1320
ENSMLUT00000000893,576
ENSMLUT00000000901,2865
ENSMLUT00000000900,1563
ENSMLUT00000000899,294
ENSMLUT00000000908,1980
ENSMLUT00000000903,303
ENSMLUT00000029583,294
ENSMLUT00000000909,1698
ENSMLUT00000000906,2397
ENSMLUT00000000912,2523
ENSMLUT00000000911,1284
ENSMLUT00000000917,1125
ENSMLUT00000000914,1017
ENSMLUT00000000915,1647
ENSMLUT00000000920,2472
ENSMLUT00000000919,1536
ENSMLUT00000000922,813
ENSMLUT00000000923,1560
ENSMLUT00000000940,2121
ENSMLUT00000024369,1548
ENSMLUT00000000924,1173
ENSMLUT00000000925,1422
ENSMLUT00000000928,1743
ENSMLUT00000000936,2031
ENSMLUT00000000929,993
ENSMLUT00000000930,765
ENSMLUT00000000926,783
ENSMLUT00000000934,1191
ENSMLUT00000000932,663
ENSMLUT00000000935,1545
ENSMLUT00000000933,689
ENSMLUT00000000937,1527
ENSMLUT00000000931,1284
ENSMLUT00000000938,783
ENSMLUT00000000941,541
ENSMLUT00000000939,603
ENSMLUT00000000948,1878
ENSMLUT00000000944,969
ENSMLUT00000000946,1344
ENSMLUT00000000960,2622
ENSMLUT00000000945,966
ENSMLUT00000000943,990
ENSMLUT00000000949,1632
ENSMLUT00000000951,987
ENSMLUT00000000953,1380
ENSMLUT00000000954,1899
ENSMLUT00000000958,1425
ENSMLUT00000000950,840
ENSMLUT00000000959,1797
ENSMLUT00000000957,468
ENSMLUT00000000955,498
ENSMLUT00000000968,1832
ENSMLUT00000000986,5835
ENSMLUT00000000963,2280
ENSMLUT00000000971,2229
ENSMLUT00000000961,837
ENSMLUT00000000965,2379
ENSMLUT00000000964,3696
ENSMLUT00000000967,939
ENSMLUT00000000966,639
ENSMLUT00000000981,2976
ENSMLUT00000000970,858
ENSMLUT00000000973,1545
ENSMLUT00000000976,801
ENSMLUT00000000974,1503
ENSMLUT00000000969,2022
ENSMLUT00000000972,1113
ENSMLUT00000000977,831
ENSMLUT00000000975,1516
ENSMLUT00000000979,1659
ENSMLUT00000001009,5073
ENSMLUT00000000980,1227
ENSMLUT00000000984,1431
ENSMLUT00000000985,1845
ENSMLUT00000000987,1277
ENSMLUT00000000982,927
ENSMLUT00000000995,2601
ENSMLUT00000000983,1290
ENSMLUT00000000988,2790
ENSMLUT00000000989,1506
ENSMLUT00000000990,1404
ENSMLUT00000000992,1490
ENSMLUT00000000991,1077
ENSMLUT00000000994,762
ENSMLUT00000000996,882
ENSMLUT00000001005,1557
ENSMLUT00000000998,622
ENSMLUT00000000997,480
ENSMLUT00000001011,1401
ENSMLUT00000001002,762
ENSMLUT00000001010,384
ENSMLUT00000001001,903
ENSMLUT00000001000,1059
ENSMLUT00000001006,945
ENSMLUT00000001003,1062
ENSMLUT00000001014,387
ENSMLUT00000001019,888
ENSMLUT00000001016,4269
ENSMLUT00000001012,3352
ENSMLUT00000001008,1188
ENSMLUT00000001017,1836
ENSMLUT00000001021,2424
ENSMLUT00000001018,489
ENSMLUT00000001015,1653
ENSMLUT00000001020,1791
ENSMLUT00000001013,807
ENSMLUT00000001026,2367
ENSMLUT00000001028,2565
ENSMLUT00000001025,2274
ENSMLUT00000001024,1170
ENSMLUT00000001031,948
ENSMLUT00000001032,2352
ENSMLUT00000001029,1785
ENSMLUT00000001022,957
ENSMLUT00000001023,519
ENSMLUT00000001033,2118
ENSMLUT00000001027,414
ENSMLUT00000001030,747
ENSMLUT00000024684,798
ENSMLUT00000001034,1011
ENSMLUT00000001036,1203
ENSMLUT00000001037,4548
ENSMLUT00000001044,2746
ENSMLUT00000001041,1140
ENSMLUT00000001042,2586
ENSMLUT00000001048,2235
ENSMLUT00000001040,2058
ENSMLUT00000001045,1464
ENSMLUT00000001057,1953
ENSMLUT00000001051,1787
ENSMLUT00000023878,1805
ENSMLUT00000001038,756
ENSMLUT00000001049,1749
ENSMLUT00000001039,2514
ENSMLUT00000001070,2847
ENSMLUT00000001046,1083
ENSMLUT00000001050,1071
ENSMLUT00000001054,963
ENSMLUT00000001052,3051
ENSMLUT00000001047,507
ENSMLUT00000001062,2280
ENSMLUT00000001061,1032
ENSMLUT00000001053,963
ENSMLUT00000001058,399
ENSMLUT00000001063,525
ENSMLUT00000001068,1212
ENSMLUT00000001079,4965
ENSMLUT00000001064,1260
ENSMLUT00000001066,2106
ENSMLUT00000001065,1248
